Show TCP sender's some valuces about RTO:
pkt_seqno      pkt_type                 RorS_seqno     srtt           rto            
200            snd_data                 124            20             23             
201            snd_data                 125            20             23             
202            snd_data                 126            20             23             
203            rcv_ack                  77             19             23             
204            snd_data                 127            19             23             
205            snd_data                 128            19             23             
206            snd_data                 129            19             23             
207            rcv_ack                  78             18             23             
208            snd_data                 130            18             23             
209            snd_data                 131            18             23             
210            snd_data                 132            18             23             
211            rcv_ack                  79             17             23             
212            snd_data                 133            17             23             
213            snd_data                 134            17             23             
214            snd_data                 135            17             23             
215            rcv_ack                  80             16             23             
216            snd_data                 136            16             23             
217            snd_data                 137            16             23             
218            snd_data                 138            16             23             
219            rcv_ack                  81             15             22             
220            snd_data                 139            15             22             
221            snd_data                 140            15             22             
222            snd_data                 141            15             22             
223            rcv_ack                  82             15             22             
224            snd_data                 142            15             22             
225            snd_data                 143            15             22             
226            snd_data                 144            15             22             
227            rcv_ack                  83             15             22             
228            snd_data                 145            15             22             
229            snd_data                 146            15             22             
230            snd_data                 147            15             22             
231            rcv_ack                  84             15             22             
232            snd_data                 148            15             22             
233            rcv_ack                  85             15             22             
234            rcv_ack                  86             15             22             
235            rcv_ack                  87             15             22             
236            rcv_ack                  88             15             22             
237            rcv_ack                  89             15             22             
238            rcv_ack                  90             15             22             
239            rcv_ack                  91             15             22             
240            rcv_ack                  92             34             26             
241            rcv_ack                  93             48             37             
242            rcv_ack                  94             48             37             
243            rcv_ack                  95             48             37             
244            rcv_ack                  96             48             37             
245            rcv_ack                  97             48             37             
246            rcv_ack                  98             48             37             
247            rcv_ack                  99             48             37             
248            snd_data                 149            48             37             
249            snd_data                 150            48             37             
250            rcv_ack                  100            48             37             
251            rcv_ack                  101            43             36             
252            snd_data                 151            43             36             
253            snd_data                 152            43             36             
254            snd_data                 153            43             36             
255            rcv_ack                  102            39             34             
256            snd_data                 154            39             34             
257            snd_data                 155            39             34             
258            snd_data                 156            39             34             
259            rcv_ack                  103            36             33             
260            snd_data                 157            36             33             
261            snd_data                 158            36             33             
262            snd_data                 159            36             33             
263            rcv_ack                  104            33             33             
264            snd_data                 160            33             33             
265            snd_data                 161            33             33             
266            snd_data                 162            33             33             
267            rcv_ack                  105            30             30             
268            snd_data                 163            30             30             
269            snd_data                 164            30             30             
270            snd_data                 165            30             30             
271            rcv_ack                  106            28             30             
272            snd_data                 166            28             30             
273            snd_data                 167            28             30             
274            snd_data                 168            28             30             
275            rcv_ack                  107            26             30             
276            snd_data                 169            26             30             
277            snd_data                 170            26             30             
278            snd_data                 171            26             30             
279            rcv_ack                  108            24             29             
280            snd_data                 172            24             29             
281            snd_data                 173            24             29             
282            snd_data                 174            24             29             
283            rcv_ack                  109            22             28             
284            snd_data                 175            22             28             
285            snd_data                 176            22             28             
286            snd_data                 177            22             28             
287            rcv_ack                  110            21             28             
288            snd_data                 178            21             28             
289            snd_data                 179            21             28             
290            snd_data                 180            21             28             
291            rcv_ack                  111            20             28             
292            snd_data                 181            20             28             
293            snd_data                 182            20             28             
294            snd_data                 183            20             28             
295            rcv_ack                  112            19             27             
296            snd_data                 184            19             27             
297            snd_data                 185            19             27             
298            snd_data                 186            19             27             
299            rcv_ack                  113            18             27             
300            snd_data                 187            18             27             
301            snd_data                 188            18             27             
302            snd_data                 189            18             27             
303            rcv_ack                  114            17             27             
304            snd_data                 190            17             27             
305            snd_data                 191            17             27             
306            snd_data                 192            17             27             
307            rcv_ack                  115            16             27             
308            snd_data                 193            16             27             
309            rcv_ack                  116            15             26             
310            rcv_ack                  117            15             26             
311            rcv_ack                  118            15             25             
312            rcv_ack                  119            15             25             
313            rcv_ack                  120            15             25             
314            rcv_ack                  121            15             25             
315            rcv_ack                  122            15             25             
316            rcv_ack                  123            35             28             
317            rcv_ack                  124            47             35             
318            rcv_ack                  125            47             35             
319            rcv_ack                  126            47             35             
320            rcv_ack                  127            47             35             
321            rcv_ack                  128            47             35             
322            rcv_ack                  129            47             35             
323            rcv_ack                  130            47             35             
